Id,Name,Email,Exclude,Week 18,22/10/2021,15/10/2021,08/10/2021,01/10/2021,24/09/2021,17/09/2021,10/09/2021,03/09/2021,27/08/2021,20/08/2021,13/08/2021,06/08/2021,30/07/2021,23/07/2021,16/07/2021,09/07/2021,02/07/2021
1,Craig Anderson,craig.anderson@company.com,,11,3,12,8,5,2,5,,,,14,16,14,10,13,16,4,14
2,Richard Andrews,richard.andrews@company.com,TRUE,,,,,,,2,1,10,11,,2,1,13,14,13,12,7
3,Melanie Bacon,melanie.bacon@company.com,,2,18,12,10,19,7,2,5,3,4,,,2,13,7,5,6,13
4,John Behan,john.behan@company.com,,6,2,4,6,3,5,14,14,,8,3,1,,6,,14,16,5
5,Priya Bhardwaj,priya.bhardwaj@company.com,,3,13,6,,9,5,5,5,5,5,15,,,,10,5,5,5
6,Louise Blair,louise.blair@company.com,,13,13,13,10,15,17,6,7,12,7,1,2,14,,,,,
7,Jamie Briggs,jamie.briggs@company.com,,4,13,11,7,6,9,16,11,14,13,7,14,13,5,,4,11,14
8,Simon Busby,simon.busby@company.com,,15,5,11,1,7,8,5,7,9,14,11,8,,13,4,3,11,10
9,Douglas Carr,douglas.carr@company.com,,1,19,16,17,17,17,4,5,16,9,10,13,13,,1,8,,11
10,Frances Carson,frances.carson@company.com,,15,10,2,2,2,1,15,,2,2,2,2,2,,2,2,2,2
11,Robert Cato,robert.cato@company.com,,8,2,13,,10,3,9,13,16,12,9,3,9,,14,7,1,
12,Mark Chaney,mark.chaney@company.com,,18,11,7,11,4,7,14,9,5,2,14,15,14,9,10,11,13,6
13,Elizabeth Coleman,elizabeth.coleman@company.com,,16,17,1,5,12,13,,16,16,16,16,4,7,12,5,,9,9
14,Adam Collett,adam.collett@company.com,,4,6,,,1,2,,6,3,,,6,15,4,,,15,9
15,Emily Cooper,emily.cooper@company.com,,4,1,9,13,16,11,1,5,2,7,16,16,5,,,2,3,4
16,Anne Crawley,anne.crawley@company.com,,11,7,8,3,1,1,6,11,11,,3,5,,11,,4,10,
17,Anthony Cutts,anthony.cutts@company.com,,1,12,10,9,11,6,15,17,4,3,15,,,1,2,6,16,
18,Christine Davis,christine.davis@company.com,,19,17,,3,6,10,3,3,3,3,,3,3,3,3,3,3,3
19,Mark Downes,mark.downes@company.com,,17,1,15,1,9,4,16,17,,6,7,,,9,9,15,10,7
20,Nicholas Dyer,nicholas.dyer@company.com,TRUE,,,,,,,,,,,,,,,,,,
21,Stuart Feast,stuart.feast@company.com,,16,7,3,,15,8,17,17,17,,6,6,6,2,,8,8,8
22,Antony Flint,antony.flint@company.com,TRUE,,,,,,,,,,,,,,,,,,
23,David George,david.george@company.com,,9,9,10,17,15,1,3,3,,,,,,,,,,
24,Philip George,philip.george@company.com,,19,16,15,2,1,13,,,,,,,,,,,,
25,Karen Goulding,karen.goulding@company.com,,3,15,11,9,3,2,11,,11,6,9,15,10,11,15,8,6,3
26,Russell Heath,russell.heath@company.com,,15,15,,,14,13,7,12,12,11,13,13,9,,6,9,9,8
27,Marie Henderson,marie.henderson@company.com,,12,18,7,3,3,3,12,,2,1,13,6,,8,,12,5,10
28,Sylvia Hillyer,sylvia.hillyer@company.com,,7,9,,7,18,7,15,2,,5,11,9,8,2,15,13,3,12
29,Frances Hince,frances.hince@company.com,TRUE,,,,,,8,4,6,5,3,16,14,15,14,8,11,6,4
30,Derek Hogg,derek.hogg@company.com,,7,13,9,17,3,,8,12,13,12,,4,2,1,6,,,
31,Darren Hollins,darren.hollins@company.com,,18,4,12,16,12,6,11,14,12,12,12,12,12,9,13,3,14,4
32,Thomas Hollis,thomas.hollis@company.com,,10,12,7,14,8,,8,,8,8,7,13,,,,7,9,10
33,Tsung Hsia,tsung.hsia@company.com,,2,16,10,8,4,15,17,16,,1,2,5,13,,,,,
34,Mohammed Iqbal,mohammed.iqbal@company.com,,19,6,,5,9,11,13,,17,,4,8,12,6,14,,5,6
35,Matt Keen,matt.keen@company.com,,5,12,14,6,17,12,17,4,13,16,11,14,10,9,12,16,,
36,Mark Kelly,mark.kelly@company.com,,8,10,6,7,8,11,2,3,,,,1,14,11,,9,7,
37,Linda Kinnear,linda.kinnear@company.com,,5,5,8,8,13,11,11,17,,,10,9,9,5,3,1,5,
38,Thomas Kinsella,thomas.kinsella@company.com,TRUE,,,,,,,,,,,,,,,,,,
39,Alexander Lewis,alexander.lewis@company.com,,12,16,6,6,6,6,6,6,6,6,,7,7,7,7,7,7,7
40,Joan Liley,joan.liley@company.com,,9,11,14,15,13,,12,11,10,14,15,5,4,12,8,8,9,5
41,Mark Lowe,mark.lowe@company.com,TRUE,,,,,,,,,,,,,,,,,4,11
42,Sarika Mahal,sarika.mahal@company.com,TRUE,,,,,,,,,,,,,,,,,,
43,Judith Mann,judith.mann@company.com,,11,9,2,15,12,17,17,9,14,,,,,,,,,
44,Jeanette Mansfield,jeanette.mansfield@company.com,,7,19,13,,,,,,,,,,,,,,,
45,Gianpaolo Mantini,gianpaolo.mantini@company.com,,5,14,13,11,5,5,1,2,8,9,13,16,10,13,8,,7,2
46,Antony Marsden,antony.marsden@company.com,,13,15,6,13,13,12,8,13,1,3,6,11,,8,,5,11,1
47,Ronald Martin,ronald.martin@company.com,TRUE,,,,,,,,,,,,,,,,,,
48,Geoffrey McCann,geoffrey.mccann@company.com,,1,3,3,15,7,5,13,13,13,13,2,12,9,3,5,15,7,
49,Thomas McDonnell,thomas.mcdonnell@company.com,,19,4,2,12,16,16,4,7,8,16,,10,13,8,7,4,1,8
50,Alison Miles,alison.miles@company.com,,14,4,8,13,19,15,14,2,6,11,9,8,6,4,3,10,2,1
51,Robert Monks,robert.monks@company.com,,10,11,,17,14,14,,8,4,6,6,14,8,6,13,10,14,12
52,Peter Morgan,peter.morgan@company.com,,6,8,14,,2,,,,,,,,,,,,,
